State,Primary Use Category,Water User,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,AG,Welton-Mohawk IDD,,,,,,,,"318,873","293,518","289,909","339,871","333,108","286,175","240,208","264,249","125,188","148,471","288,098","250,917","222,399","280,781","274,644","309,936","319,992","322,118","322,208","315,637","300,039","259,192","169,627","252,251","247,409","274,421","312,514","290,355","266,730","275,747","276,681","285,755","272,739","256,574","236,323","274,927","272,778","258,817","262,227","238,236","254,811","257,390"
,M&I,City of Yuma,,,,,,,,"11,464","12,485","11,894","12,346","7,144","6,782","8,212","9,056","7,982","8,706","9,588","8,223","9,463","10,791","9,822","10,760","10,834","11,130","11,351","10,927","11,640","12,392","12,942","14,328","14,902","18,500","16,969","16,474","17,669","23,397","17,732","18,036","19,505","19,130","17,320","18,370","15,642","15,895","15,407","13,329","16,684","14,514"
,M&I,Marine Corps Air Station (Yuma),,,,,,,,"1,524","2,044","2,495","2,066","1,994","1,871","2,041","2,101","1,580","1,715","1,780","2,131","2,131","1,775","2,134","2,258","2,459","2,118","1,839","1,862","1,618","1,824","1,781","1,816","1,552","2,292","2,123","1,876","1,703","2,030","2,307","2,307","1,871","2,071","1,789","2,104","1,654","1,529","1,578","1,321","1,300","1,428"
,M&I,Southern Pacific Company,,,,,,,,60,60,60,60,60,60,60,60,61,60,60,60,60,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,24,24,24,24,24,24,22,20,24,24
,M&I,County of Yuma,,,,,,,,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0,0,,,,--,,,,,,,--,--,--,--,--,--,--
,AG,Yuma Mesa Fruit Growers Assn.,,,,,,,,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,0,0,0,0,0,--
,AG,University of Arizona,,,,,,,,899,859,997,921,793,863,618,786,902,945,870,932,839,697,655,717,895,984,917,813,933,932,662,837,905,"1,131","1,200","1,044","1,090",950,"1,038",755,617,735,537,323,638,611,597,752,843,766
,M&I,Yuma Union High School District,,,,,,,,236,244,243,246,246,657,"1,138",938,245,258,312,241,254,200,261,259,217,167,172,219,207,317,238,163,150,195,200,226,191,211,200,146,48,143,157,119,230,320,113,165,148,148
,AG,Camille Alec Jr.,,,,,,,,96,97,104,105,100,86,32,92,96,97,88,66,29,26,7,5,21,27,25,24,26,27,19,32,34,50,29,2,0,100,16,101,85,27,1,0,0,0,0,0,--,--
,M&I,Desert Lawn Memorial,,,,,,,,98,92,111,156,157,127,130,129,137,185,161,180,180,150,53,107,77,105,99,116,119,90,127,137,112,102,2,448,394,447,336,336,91,61,99,102,38,30,90,88,105,88
,AG,North Gila Valley IDD,,,,,,,,"45,018","44,713","49,413","51,334","48,909","44,599","42,153","41,078","39,764","33,663","41,822","38,403","29,305","11,136","17,755","19,328","17,552","19,675","20,109","21,446","22,301","18,396","16,918","19,296","17,925","20,646","20,599","19,532","18,567","21,060","19,275","18,417","11,818","10,174","12,408","12,495","13,410","13,977","12,224","9,744","10,720","11,636"
,AG,Yuma Irrigation District,,,,,,,,"75,475","72,804","71,645","70,567","72,646","72,689","76,167","66,744","70,503","76,593","80,768","70,533","63,374","55,364","58,766","60,590","59,693","58,886","54,530","53,494","56,150","49,529","44,975","45,040","49,981","52,073","50,875","50,736","50,590","52,729","49,171","52,631","34,034","30,269","31,324","35,858","34,859","39,327","36,648","33,803","38,799","38,488"
